
****

ttH - DONE SR, fake, flip
Oct19v1_MC_2016_GluGluToHHTo4Tau_node_2 --> 125,43,117 
Oct19v2_MC_2016_GluGluToHHTo4Tau_node_3 --> 98,23,81 
Oct19v1_MC_2016_GluGluToHHTo4Tau_node_4 --> 90,29,66 
Oct19v1_MC_2016_GluGluToHHTo4Tau_node_5 --> 141,40,111 
Oct19v1_MC_2016_GluGluToHHTo4Tau_node_6 --> 79,31,67 
Oct19v1_MC_2016_GluGluToHHTo4Tau_node_7 --> 62,20,47 
Oct19v2_MC_2016_GluGluToHHTo4Tau_node_8 --> 102,29,86 
Oct19v1_MC_2016_GluGluToHHTo4Tau_node_9 --> 117,32,102 
Oct19v2_MC_2016_GluGluToHHTo4Tau_node_10 --> 49,25,45 
Oct19v2_MC_2016_GluGluToHHTo4Tau_node_11 --> 81,20,59 
Oct19v1_MC_2016_GluGluToHHTo4Tau_node_12 --> 51,25,45 

Oct19v2_MC_2017_GluGluToHHTo2B2VTo2L2Nu_node_SM --> 1,8,170 
Oct19v2_MC_2017_GluGluToHHTo2B2VTo2L2Nu_node_2 --> 0,2,119 
Oct19v2_MC_2017_GluGluToHHTo2B2VTo2L2Nu_node_3 --> 1,6,142 
Oct19v1_MC_2017_GluGluToHHTo2B2VTo2L2Nu_node_7 --> 0,9,204 
Oct19v1_MC_2017_GluGluToHHTo2B2VTo2L2Nu_node_9 --> 2,4,206 
Oct19v4_MC_2017_GluGluToHHTo2B2VTo2L2Nu_node_12 --> 1,0,219 
Oct19v1_MC_2017_GluGluToHHTo2B2Tau_node_SM --> 0,7,17 
Oct19v1_MC_2017_GluGluToHHTo2B2Tau_node_2 --> 3,14,31 
Oct19v1_MC_2017_GluGluToHHTo2B2Tau_node_3 --> 2,11,30 
Oct19v1_MC_2017_GluGluToHHTo2B2Tau_node_4 --> 0,16,14 
Oct19v1_MC_2017_GluGluToHHTo2B2Tau_node_7 --> 3,10,19 
Oct19v1_MC_2017_GluGluToHHTo2B2Tau_node_9 --> 3,13,30 
Oct19v1_MC_2017_GluGluToHHTo2B2Tau_node_12 --> 1,17,17 
Oct19v1_MC_2017_GluGluToHHTo4Tau_node_SM_13 --> 318,141,242 
Oct19v1_MC_2017_GluGluToHHTo4Tau_node_2 --> 455,159,372 
Oct19v1_MC_2017_GluGluToHHTo4Tau_node_3 --> 323,132,266 
Oct19v2_MC_2017_GluGluToHHTo4Tau_node_7 --> 281,97,203 
Oct19v1_MC_2017_GluGluToHHTo4Tau_node_9 --> 446,157,380 
Oct19v1_MC_2017_GluGluToHHTo4Tau_node_12 --> 307,116,232 
Oct19v2_MC_2017_GluGluToHHTo2V2Tau_node_SM --> 235,115,175 
Oct19v1_MC_2017_GluGluToHHTo2V2Tau_node_2 --> 309,106,217 
Oct19v2_MC_2017_GluGluToHHTo2V2Tau_node_3 --> 117,43,93 
Oct19v1_MC_2017_GluGluToHHTo2V2Tau_node_4 --> 255,91,177 
Oct19v1_MC_2017_GluGluToHHTo2V2Tau_node_5 --> 327,97,212 
Oct19v1_MC_2017_GluGluToHHTo2V2Tau_node_6 --> 253,84,192 
Oct19v2_MC_2017_GluGluToHHTo2V2Tau_node_7 --> 200,67,121 
Oct19v1_MC_2017_GluGluToHHTo2V2Tau_node_8 --> 235,83,182 
Oct19v1_MC_2017_GluGluToHHTo2V2Tau_node_9 --> 396,105,218 
Oct19v1_MC_2017_GluGluToHHTo2V2Tau_node_10 --> 263,96,176 
Oct19v1_MC_2017_GluGluToHHTo2V2Tau_node_11 --> 221,101,177 
Oct19v2_MC_2017_GluGluToHHTo2V2Tau_node_12 --> 242,98,172 
Oct19v1_MC_2017_GluGluToHHTo4V_node_SM --> 51,20,46 
Oct19v2_MC_2017_GluGluToHHTo4V_node_2 --> 48,20,53 
Oct19v1_MC_2017_GluGluToHHTo4V_node_3 --> 70,14,58 
Oct19v1_MC_2017_GluGluToHHTo4V_node_4 --> 67,24,44 
Oct19v1_MC_2017_GluGluToHHTo4V_node_5 --> 63,15,64 
Oct19v1_MC_2017_GluGluToHHTo4V_node_6 --> 64,20,57 
Oct19v1_MC_2017_GluGluToHHTo4V_node_7 --> 56,22,49 
Oct19v1_MC_2017_GluGluToHHTo4V_node_8 --> 62,18,49 
Oct19v1_MC_2017_GluGluToHHTo4V_node_9 --> 72,23,78 
Oct19v1_MC_2017_GluGluToHHTo4V_node_10 --> 48,18,59 
Oct19v2_MC_2017_GluGluToHHTo4V_node_11 --> 70,22,75 
Oct19v2_MC_2017_GluGluToHHTo4V_node_12 --> 55,22,62 

Oct19v2_MC_2018_GluGluToHHTo2B2Tau_node_SM --> 4,10,12 
Oct19v1_MC_2018_GluGluToHHTo2B2Tau_node_2 --> 1,17,21 
Oct19v2_MC_2018_GluGluToHHTo2B2Tau_node_3 --> 1,7,12 
Oct19v1_MC_2018_GluGluToHHTo2B2Tau_node_4 --> 1,13,17 
Oct19v1_MC_2018_GluGluToHHTo2B2Tau_node_5 --> 0,13,15 
Oct19v1_MC_2018_GluGluToHHTo2B2Tau_node_6 --> 2,12,15 
Oct19v2_MC_2018_GluGluToHHTo2B2Tau_node_7 --> 2,11,12 
Oct19v3_MC_2018_GluGluToHHTo2B2Tau_node_8 --> 2,4,16 
Oct19v2_MC_2018_GluGluToHHTo2B2Tau_node_9 --> 0,9,25 
Oct19v2_MC_2018_GluGluToHHTo2B2Tau_node_10 --> 3,9,10 
Oct19v3_MC_2018_GluGluToHHTo2B2Tau_node_11 --> 1,13,16 
Oct19v2_MC_2018_GluGluToHHTo2B2Tau_node_12 --> 3,11,16 


Extra  - DONE SR, fake, flip

Oct19v1_MC_2016_WGToLNuG_01J --> 2,0,1
Oct19v1_MC_2017_WGToLNuG_01J --> 1,0,2
Oct19v1_MC_2018_WGToLNuG_01J --> 0,2,2


*** DATA ****

// 2016  - DONE SR, fake, flip

Oct19v1_Data_2016_SingleElectron_BlockB --> 5,15,273
Oct19v1_Data_2016_SingleElectron_BlockC --> 3,9,105
Oct19v1_Data_2016_SingleElectron_BlockD --> 5,13,158
Oct19v1_Data_2016_SingleElectron_BlockE --> 12,18,395
Oct19v1_Data_2016_SingleElectron_BlockF --> 1,5,112
Oct19v1_Data_2016_SingleElectron_BlockG --> 2,15,291
Oct19v1_Data_2016_SingleElectron_BlockH --> 10,23,298

Oct19v1_Data_2016_SingleMuon_BlockB --> 5,22,187
Oct19v1_Data_2016_SingleMuon_BlockC --> 3,11,71
Oct19v1_Data_2016_SingleMuon_BlockD --> 8,25,109
Oct19v1_Data_2016_SingleMuon_BlockE --> 9,10,108
Oct19v1_Data_2016_SingleMuon_BlockF --> 3,10,92
Oct19v1_Data_2016_SingleMuon_BlockG --> 12,20,186
Oct19v1_Data_2016_SingleMuon_BlockH --> 17,26,194

Oct19v1_Data_2016_DoubleEG_BlockB --> 6,11,201
Oct19v1_Data_2016_DoubleEG_BlockC --> 1,3,70
Oct19v1_Data_2016_DoubleEG_BlockD --> 4,2,80
Oct19v1_Data_2016_DoubleEG_BlockE --> 4,8,62
Oct19v1_Data_2016_DoubleEG_BlockF --> 1,2,45
Oct19v1_Data_2016_DoubleEG_BlockG --> 1,6,130
Oct19v1_Data_2016_DoubleEG_BlockH --> 5,12,154

Oct19v1_Data_2016_DoubleMu_BlockB --> 4,13,53
Oct19v1_Data_2016_DoubleMu_BlockC --> 2,7,22
Oct19v1_Data_2016_DoubleMu_BlockD --> 3,13,38
Oct19v1_Data_2016_DoubleMu_BlockE --> 3,12,22
Oct19v1_Data_2016_DoubleMu_BlockF --> 3,10,25
Oct19v1_Data_2016_DoubleMu_BlockG --> 9,15,53
Oct19v1_Data_2016_DoubleMu_BlockH --> 7,12,59

